score,pubdate,source,title,link
128,2026-05-27-01-24-00 +0000,wsj,"State Attorney General Ken Paxton clinched the Texas Republican nomination for U.S. Senate, defeating longtime Sen. John Cornyn. President Trump’s endorsement of Paxton helped lift another MAGA firebrand.",https://www.wsj.com/politics/elections/paxton-wins-texas-republican-primary-after-trump-endorsement-9d92d587
97,2026-05-27-00-03-57 +0000,nyt,"Iran War Updates: U.S. Saw Threats From Iran Before Renewing Strikes, Officials Said",https://www.nytimes.com/live/2026/05/26/world/iran-war-trump-deal
52,2026-05-27-00-07-48 +0000,nypost,Supreme Court denies NFL’s bid to keep former Dolphins coach Brian Flores’ discrimination lawsuit from heading to court,https://nypost.com/2026/05/26/us-news/supreme-court-denies-nfls-bid-to-keep-brian-flores-discrimination-lawsuit-from-heading-to-court/
52,2026-05-26-17-20-59 +0000,nypost,Joe Rogan floats bold back up plan for Spencer Pratt if he loses LA mayoral election,https://nypost.com/2026/05/26/us-news/joe-rogan-floats-bold-back-up-plan-for-spencer-pratt-if-he-loses-la-mayoral-election/
43,2026-05-26-10-35-00 +0000,wsj,War with Iran has halted a hard-won improvement in housing affordability. The problem is rising mortgage rates on the back of worries that the energy crisis will stoke inflation. Read more in today's Markets A.M. newsletter:,https://www.wsj.com/economy/housing/how-the-iran-war-put-housings-spring-thaw-back-on-ice-1adcccca
43,2026-05-26-22-18-28 +0000,nypost,Possible serial killer is latest horror to upend Mexico World Cup host region — two weeks before first match,https://nypost.com/2026/05/26/world-news/possible-serial-killer-is-latest-horror-to-upend-mexico-world-cup-host-region-two-weeks-before-first-match/
42,2026-05-26-08-00-00 +0000,cbc,'Race against time' to contain Ebola outbreak in central Africa,https://www.cbc.ca/news/health/ebola-outbreak-may-26-9.7211604?cmp=rss
41,2026-05-26-21-13-12 +0000,nypost,"Starbucks sees sales drop, mass protests in South Korea after ‘Tank Day’ promotion for massacre that killed 2K people",https://nypost.com/2026/05/26/world-news/starbucks-sees-sales-drop-mass-protests-in-south-korea-after-tank-day-promotion/
39,2026-05-26-16-51-30 +0000,nypost,Ferrari’s new $640K electric car already a massive fail — and looks just like a $30K Nissan: ‘Monstrosity’,https://nypost.com/2026/05/26/business/ferraris-new-640k-electric-car-already-a-massive-fail-and-looks-just-like-a-30k-nissan-monstrosity/
36,2026-05-26-20-17-40 +0000,nyt,Canada Strikes Landmark Deal to Export Liquefied Natural Gas to Germany,https://www.nytimes.com/2026/05/26/world/canada/canada-germany-natural-gas-lng.html
