score,pubdate,source,title,link
43,2025-07-15-03-45-00 +0000,wsj,"China’s economy showed resilience in a turbulent first half of the year, remaining on track to hit its official growth target for the year despite President Trump’s tariff assault",https://www.wsj.com/world/china/chinas-economy-slows-in-line-with-expectations-1c34e51f
28,2025-07-14-14-48-00 +0000,wsj,"Trump is threatening to ramp up the U.S. trade war with Europe, and costs to move products like cars, pharmaceutical products and airplane parts across the Atlantic are at stake",https://www.wsj.com/economy/trade/european-union-exports-tariffs-explained-64acab19
12,2025-07-15-08-50-07 +0000,bbc,Trump shrugs off giving Parliament speech when he visits UK,https://www.bbc.com/news/articles/cx2g1xexe7qo
11,2025-07-15-09-38-38 +0000,bbc,'Not our war' - Trump's Nato weapons deal for Ukraine sparks MAGA anger,https://www.bbc.com/news/articles/c14e2ydv4d6o
11,2025-07-15-06-42-06 +0000,bbc,"As theories swirl about Air India crash, key details remain unknown",https://www.bbc.com/news/articles/cp3lpdqp7x3o
11,2025-07-14-20-35-00 +0000,bbc,Gaza father's outrage after Israeli strike kills son 'searching for sip' at water point,https://www.bbc.com/news/articles/ckglpk9xjewo
10,2025-07-14-16-08-41 +0000,bbc,Dozens killed in clashes between Druze and Bedouin in southern Syria,https://www.bbc.com/news/articles/cgmwp70pwmyo
10,2025-07-14-16-48-00 +0000,nyt,"Maya Ruler’s Tomb Is Unearthed in Belize, With Clues to His Ancient World",https://www.nytimes.com/2025/07/10/world/americas/maya-tomb-caracol-belize.html
10,2025-07-14-17-11-33 +0000,bbc,MP charged for accusing Lesotho king of signing over country to South Africa,https://www.bbc.com/news/articles/cp86pznd65ko
9,2025-07-15-09-07-32 +0000,bbc,Antisemitism report finds 'unacceptable' increase in anti-Jewish discrimination,https://www.bbc.com/news/articles/crl0p2xk4w3o
