score,pubdate,source,title,link
206,2026-03-03-21-11-57 +0000,nypost,Rubio walks back claim Israel forced Trump’s timing for Iran war,https://nypost.com/2026/03/03/us-news/rubio-walks-back-claim-israel-forced-trumps-timing-for-iran-war/
84,2026-03-03-12-32-12 +0000,bbc,Heating oil prices rise by more than £100 amid Middle East conflict,https://www.bbc.com/news/articles/cq57ylzz4dlo?at_medium=RSS&at_campaign=rss
79,2026-03-03-22-48-00 +0000,wsj,"Goldman Sachs’s departing general counsel Kathryn Ruemmler has been asked to testify before the House Oversight Committee on her ties to Jeffrey Epstein; separately, Commerce Secretary Howard Lutnick has agreed to testify",https://www.wsj.com/politics/policy/house-committee-wants-goldman-sachs-general-counsel-to-testify-on-epstein-becf6b9a
77,2026-03-03-10-30-00 +0000,wsj,"A tight, three-way race for a Texas Senate seat has Republicans on edge and Democrats hoping they can break through after losing statewide for the past 30 years. Here’s what you need to know.",https://www.wsj.com/politics/elections/what-to-know-about-texas-most-heated-primary-0eafb734
55,2026-03-03-00-33-09 +0000,latimes,Supreme Court: California parents may be told about their transgender child at school,https://www.latimes.com/politics/story/2026-03-02/supreme-court-california-parents-may-be-told-about-their-transgender-child-at-school
49,2026-03-03-21-42-00 +0000,wsj,"Minneapolis Fed President Neel Kashkari said that one or two interest-rate cuts later this year could be appropriate, but that war in the Mideast could create conditions justifying an extended pause",https://www.wsj.com/economy/central-banking/kashkari-says-fed-can-sit-tight-as-war-clouds-the-outlook-fa3c53b9
46,2026-03-03-17-47-44 +0000,nypost,"Trump vows to ‘cut off all trade with Spain’: ‘Very, very uncooperative’ over base refusal for Iran attacks",https://nypost.com/2026/03/03/us-news/trump-vows-to-cut-off-all-trade-with-spain/
43,2026-03-03-17-28-00 +0000,wsj,U.S. Troops Killed in Kuwait Had No Warning of Deadly Drone Attack,https://www.wsj.com/world/middle-east/u-s-troops-killed-in-kuwait-had-no-warning-of-deadly-drone-attack-b0ef6bce
40,2026-03-03-17-29-23 +0000,nypost,"Trump administration’s bids to end New York’s congestion pricing was unlawful, federal judge rules",https://nypost.com/2026/03/03/us-news/trump-administrations-bids-to-end-new-yorks-congestion-pricing-was-unlawful-federal-judge-rules/
40,2026-03-03-14-00-00 +0000,latimes,"Struggling Democrats need to drop out of California's crowded governor race or risk a GOP win, party leader warns",https://www.latimes.com/california/story/2026-03-03/california-democratic-leader-urges-weak-gubernatorial-hopefuls-to-bow-out
